predator_scientific_name,predator_taxon_kingdom,prey_scientific_name,prey_taxon_kingdom,is_carnivorous_plant,valid_eats_prey,My Remarks,Need to check?,Type of Feeding
Cricetomys ansorgei,Animalia,Croton,Plantae,,,,,
Apis mellifera,Animalia,Croton megalocarpus,Plantae,,,,,
Graphium antheus,Animalia,Croton pseudopulchellus,Plantae,,,,,
Leptotes pirithous,Animalia,Croton pseudopulchellus,Plantae,,,,,
Leucocelis aeneicollis,Animalia,Croton pseudopulchellus,Plantae,,,,,
Libythea laius,Animalia,Croton pseudopulchellus,Plantae,,,,,
Protogoniomorpha nebulosa,Animalia,Croton pseudopulchellus,Plantae,,,,,
Calidris minutilla,Animalia,Crustacea,Animalia,,,,,
Larus glaucescens,Animalia,Cryptochiton stelleri,Animalia,,,,,
Phaenicophaeus curvirostris singularis,Animalia,Cryptophyllium,Animalia,,,,,
Larus glaucescens,Animalia,Cucumaria miniata,Animalia,,,,,
Diabrotica undecimpunctata,Animalia,Cucurbita pepo,Plantae,,,,,
Pelegrina galathea,Animalia,Cuerna costalis,Animalia,,,,,
Maevia inclemens,Animalia,Culicidae,Animalia,,,,,
Platycryptus undatus,Animalia,Culicidae,Animalia,,,,,
Hentzia palmarum,Animalia,Culicomorpha,Animalia,,,,,
Nectarinia kilimensis,Animalia,Cuphea ignea,Plantae,,,,,
Chondrodactylus laevigatus,Animalia,Cyligramma latona,Animalia,,,,,
Hemigrapsus oregonensis,Animalia,Cymatogaster aggregata,Animalia,,,,,
Megaceryle alcyon,Animalia,Cymatogaster aggregata,Animalia,,,,,
Melitaea deione,Animalia,Cymbalaria muralis,Plantae,,,,,
Trichodes ornatus,Animalia,Cymopterus lemmonii,Plantae,,,,,
Egybolis vaillantina,Animalia,Cynanchum ellipticum,Plantae,,,,,
Apis mellifera,Animalia,Cynanchum laeve,Plantae,,,,,
Xylocopa virginica,Animalia,Cynanchum laeve,Plantae,,,,,
Belenois creona,Animalia,Cynanchum viminale,Plantae,,,,,
Belenois creona severina,Animalia,Cynanchum viminale,Plantae,,,,,
Telchinia serena,Animalia,Cynanchum viminale,Plantae,,,,,
Phytomyza syngenesiae,Animalia,Cynara cardunculus,Plantae,,,,,
Pelecanus occidentalis,Animalia,Cynoscion nebulosus,Animalia,,,,,
Estrilda astrild tenebridorsa,Animalia,Cyperaceae,Plantae,,,,,
Euplectes axillaris axillaris,Animalia,Cyperaceae,Plantae,,,,,
Loxodonta africana,Animalia,Cyperus articulatus,Plantae,,,,,
Ceroctis trifurca,Animalia,Cyperus niveus leucocephalus,Plantae,,,,,
Plectropterus gambensis,Animalia,Cyperus polystachyos polystachyos,Plantae,,,,,
Plectropterus gambensis niger,Animalia,Cyperus polystachyos polystachyos,Plantae,,,,,
Estrilda astrild,Animalia,Cyperus solidus,Plantae,,,,,
Estrilda astrild tenebridorsa,Animalia,Cyperus solidus,Plantae,,,,,
Heteraspis albidovittata,Animalia,Cyphostemma princeae,Plantae,,,,,
Megaceryle lugubris guttulata,Animalia,Cyprinidae,Animalia,,,,,
Ardea cinerea,Animalia,Cyprininae,Animalia,,,,,
Plegadis chihi,Animalia,Cyprininae,Animalia,,,,,
Larus mongolicus,Animalia,Cyprinoidei,Animalia,,,,,
Ardea herodias,Animalia,Cyprinus carpio,Animalia,,,,,
Lontra canadensis,Animalia,Cyprinus carpio,Animalia,,,,,
Pandion haliaetus,Animalia,Cyprinus carpio,Animalia,,,,,
Macronyx croceus,Animalia,Cyrtacanthacridinae,Animalia,,,,,
Heteropoda venatoria,Animalia,Cyrtoxipha,Animalia,,,,,
Helicoverpa armigera,Animalia,Dahlia,Plantae,,,,,
Mausoleopsis amabilis,Animalia,Dais cotinifolia,Plantae,,,,,
Mylothris agathina,Animalia,Dais cotinifolia,Plantae,,,,,
Mylothris agathina agathina,Animalia,Dais cotinifolia,Plantae,,,,,
Catalebeda cuneilinea,Animalia,Dalbergia obovata,Plantae,,,,,
Graptocoris aulicus,Animalia,Dalechampia capensis,Plantae,,,,,
Erysiphe australiana,Fungi,Lagerstroemia indica,Plantae,FALSE,TRUE,Erysiphe australiana is the main powdery mildew pathogen of crepe myrtle,,Parasitism
Progne subis,Animalia,Danaus plexippus,Animalia,,,,,
Coragyps atratus,Animalia,Dasypus novemcinctus,Animalia,,,,,
Thomisus onustus,Animalia,Dasyscolia ciliata,Animalia,,,,,
Apis mellifera,Animalia,Datura wrightii,Plantae,,,,,
Brachyleptura rubrica,Animalia,Daucus carota,Plantae,,,,,
Otospermophilus douglasii,Animalia,Daucus carota,Plantae,,,,,
Typocerus velutinus,Animalia,Daucus carota,Plantae,,,,,
Ardea alba melanorhynchos,Animalia,Decapoda,Animalia,,,,,
Egybolis vaillantina,Animalia,Deinbollia oblongifolia,Plantae,,,,,
Menemerus bivittatus,Animalia,Delphacidae,Animalia,,,,,
Bombus fervidus,Animalia,Delphinium,Plantae,,,,,
Astragalus cicer,Plantae,Bombus appositus,Animalia,FALSE,FALSE,Polination,,Pollination
Sceliphron caementarium,Animalia,Dendryphantini,Animalia,,,,,
Troglodytes aedon,Animalia,Dendryphantini,Animalia,,,,,
Larus glaucescens,Animalia,Dermasterias imbricata,Animalia,,,,,
Anisodactylus rusticus,Animalia,Descurainia sophia,Plantae,,,,,
Halictus tripartitus,Animalia,Descurainia sophia,Plantae,,,,,
Gyrinophilus porphyriticus,Animalia,Desmognathus monticola,Animalia,,,,,
Diabrotica undecimpunctata,Animalia,Diabrotica undecimpunctata,Animalia,,,,,
Amblyospiza albifrons,Animalia,Dianella bambusifolia,Plantae,,,,,
Amblyospiza albifrons woltersi,Animalia,Dianella bambusifolia,Plantae,,,,,
Crithagra gularis,Animalia,Dianella bambusifolia,Plantae,,,,,
Crithagra mozambica,Animalia,Dianella bambusifolia,Plantae,,,,,
Passer diffusus,Animalia,Dianella bambusifolia,Plantae,,,,,
Trachyphonus vaillantii,Animalia,Dianella bambusifolia,Plantae,,,,,
Cycloplasis panicifoliella,Animalia,Dichanthelium clandestinum,Plantae,,,,,
Azanus jesous,Animalia,Dichrostachys cinerea,Plantae,,,,,
Dicrurus adsimilis adsimilis,Animalia,Dicrurus adsimilis adsimilis,Animalia,,,,,
Terpsiphone affinis,Animalia,Dictyopharidae,Animalia,,,,,
Dermestes maculatus,Animalia,Didelphis virginiana,Animalia,,,,,
Oiceoptoma inaequale,Animalia,Didelphis virginiana,Animalia,,,,,
Vespula maculifrons,Animalia,Didelphis virginiana,Animalia,,,,,
Estrilda astrild tenebridorsa,Animalia,Digitaria,Plantae,,,,,
Brunneria borealis,Animalia,Dione vanillae,Animalia,,,,,
Peucetia viridans,Animalia,Dione vanillae,Animalia,,,,,
Catopsilia florella,Animalia,Diospyros,Plantae,,,,,
Curruca melanocephala,Animalia,Diospyros kaki,Plantae,,,,,
Cyanopica cooki,Animalia,Diospyros kaki,Plantae,,,,,
Passer domesticus,Animalia,Diospyros kaki,Plantae,,,,,
Sturnus vulgaris,Animalia,Diospyros kaki,Plantae,,,,,
Sylvia atricapilla,Animalia,Diospyros kaki,Plantae,,,,,
Blenina senex,Animalia,Diospyros lotus,Plantae,,,,,
Stactolaema whytii,Animalia,Diospyros lycioides sericea,Plantae,,,,,
Aceria theospyri,Animalia,Diospyros virginiana,Plantae,,,,,
Baeoalitriozus diospyri,Animalia,Diospyros virginiana,Plantae,,,,,
Canis latrans,Animalia,Diospyros virginiana,Plantae,,,,,
Dasypus novemcinctus,Animalia,Diospyros virginiana,Plantae,,,,,
Estigmene acrea,Animalia,Diospyros virginiana,Plantae,,,,,
Hyphantria cunea,Animalia,Diospyros virginiana,Plantae,,,,,
Largus succinctus,Animalia,Diospyros virginiana,Plantae,,,,,
Procyon lotor,Animalia,Diospyros virginiana,Plantae,,,,,
Exobasidium rhododendri,Fungi,Rhododendron,Plantae,FALSE,TRUE,Exobasidium rhododendri is an obligate biotrophic fungus that causes leaf galls on European Rhododendron,,Parasitism
Sphyrapicus varius,Animalia,Diospyros virginiana,Plantae,,,,,
Ursus americanus,Animalia,Diospyros virginiana,Plantae,,,,,
Valgus canaliculatus,Animalia,Diospyros virginiana,Plantae,,,,,
Ceriagrion glabrum,Animalia,Diplacodes lefebvrii,Animalia,,,,,
Toxomerus occidentalis,Animalia,Diplotaxis tenuifolia,Plantae,,,,,
Arizona elegans occidentalis,Animalia,Dipodomys heermanni,Animalia,,,,,
Buteo jamaicensis,Animalia,Dipodomys ingens,Animalia,,,,,
Colias eurytheme,Animalia,Dipsacus fullonum,Plantae,,,,,
Baryphas ahenus,Animalia,Diptera,Animalia,,,,,
Cyrtophora moluccensis,Animalia,Diptera,Animalia,,,,,
Lybius torquatus torquatus,Animalia,Diptera,Animalia,,,,,
Marpissa muscosa,Animalia,Diptera,Animalia,,,,,
Motacilla capensis capensis,Animalia,Diptera,Animalia,,,,,
Phyllocrania paradoxa,Animalia,Diptera,Animalia,,,,,
Pisaurina mira,Animalia,Diptera,Animalia,,,,,
Platycryptus undatus,Animalia,Diptera,Animalia,,,,,
Rhipidocephala,Animalia,Diptera,Animalia,,,,,
Salticus scenicus,Animalia,Diptera,Animalia,,,,,
Steatoda nobilis,Animalia,Diptera,Animalia,,,,,
Thyene inflata,Animalia,Diptera,Animalia,,,,,
Trichonephila clavipes,Animalia,Diptera,Animalia,,,,,
Repipta taurus,Animalia,Dirrhagofarsus,Animalia,,,,,
Afrogegenes,Animalia,Distephanus angulifolius,Plantae,,,,,
Gegenes letterstedti,Animalia,Distephanus angulifolius,Plantae,,,,,
Mylothris agathina,Animalia,Distephanus angulifolius,Plantae,,,,,
Mylothris agathina agathina,Animalia,Distephanus angulifolius,Plantae,,,,,
Philanthus,Animalia,Distephanus angulifolius,Plantae,,,,,
Ludia delegorguei,Animalia,Distephanus inhacensis,Plantae,,,,,
Pieris rapae,Animalia,Dittrichia graveolens,Plantae,,,,,
Camponotus pennsylvanicus,Animalia,Dolichovespula maculata,Animalia,,,,,
Entypus unifasciatus,Animalia,Dolomedes albineus,Animalia,,,,,
Anhinga anhinga,Animalia,Dorosoma cepedianum,Animalia,,,,,
Chelydra serpentina,Animalia,Dorosoma cepedianum,Animalia,,,,,
Larus delawarensis,Animalia,Dorosoma cepedianum,Animalia,,,,,
Pandion haliaetus,Animalia,Dorosoma cepedianum,Animalia,,,,,
Cerurina marshalli,Animalia,Dovyalis zeyheri,Plantae,,,,,
Leucauge venusta,Animalia,Draeculacephala,Animalia,,,,,
Arenaria interpres,Animalia,Dreissena bugensis,Animalia,,,,,
Leucocelis amethystina,Animalia,Drimia altissima,Plantae,,,,,
Spilostethus pandurus,Animalia,Drimia altissima,Plantae,,,,,
Spilostethus pandurus elegans,Animalia,Drimia altissima,Plantae,,,,,
Prophyllocnistis epidrimys,Animalia,Drimys winteri,Plantae,,,,,
Lamprotornis chalybaeus,Animalia,Drosera madagascariensis,Plantae,,,,,
Maevia inclemens,Animalia,Drosophila repleta,Animalia,,,,,
Accipiter striatus,Animalia,Dryobates pubescens,Animalia,,,,,
Lanius collaris,Animalia,Duberria lutrix lutrix,Animalia,,,,,
Lanius collaris collaris,Animalia,Duberria lutrix lutrix,Animalia,,,,,
Pheidole megacephala,Animalia,Duberria variegata,Animalia,,,,,
Rhabdophis helleri,Animalia,Duttaphrynus melanostictus,Animalia,,,,,
Urocissa erythroryncha,Animalia,Duttaphrynus melanostictus,Animalia,,,,,
Urocissa erythroryncha magnirostris,Animalia,Duttaphrynus melanostictus,Animalia,,,,,
Colius striatus,Animalia,Dyschoriste thunbergiiflora,Plantae,,,,,
Insignorthezia insignis,Animalia,Dyschoriste thunbergiiflora,Plantae,,,,,
Tarentola mauritanica,Animalia,Earias insulana,Animalia,,,,,
Colotis evagore,Animalia,Ecballium elaterium,Plantae,,,,,
Rumina decollata,Animalia,Ecballium elaterium,Plantae,,,,,
Hycleus lugens,Animalia,Ecbolium glabratum,Plantae,,,,,
Sphecius speciosus,Animalia,Echinocystis lobata,Plantae,,,,,
Graphosoma italicum,Animalia,Echinophora spinosa,Plantae,,,,,
Graphosoma italicum italicum,Animalia,Echinophora spinosa,Plantae,,,,,
Pieris rapae,Animalia,Echium,Plantae,,,,,
Bombus melanopygus,Animalia,Echium candicans,Plantae,,,,,
Bombus vosnesenskii,Animalia,Echium candicans,Plantae,,,,,
Prostheceraeus crozieri,Animalia,Ecteinascidia turbinata,Animalia,,,,,
Anthophora plumipes,Animalia,Edgeworthia chrysantha,Plantae,,,,,
Platycryptus undatus,Animalia,Efferia,Animalia,,,,,
Discurria insessa,Animalia,Egregia menziesii,Chromista,,,,,
Anguilla anguilla,Animalia,Egretta garzetta,Animalia,,,,,
Linepithema humile,Animalia,Eleodes gracilis distans,Animalia,,,,,
Lampropeltis californiae,Animalia,Elgaria multicarinata,Animalia,,,,,
Spilostethus macilentus,Animalia,Elytraria acaulis,Plantae,,,,,
Ardea cinerea,Animalia,Emberiza schoeniclus,Animalia,,,,,
Urile penicillatus,Animalia,Embiotoca,Animalia,,,,,
Anas platyrhynchos,Animalia,Emerita analoga,Animalia,,,,,
Arenaria melanocephala,Animalia,Emerita analoga,Animalia,,,,,
Calidris alba,Animalia,Emerita analoga,Animalia,,,,,
Numenius americanus,Animalia,Emerita analoga,Animalia,,,,,
Tringa semipalmata,Animalia,Emerita analoga,Animalia,,,,,
Tringa semipalmata inornata,Animalia,Emerita analoga,Animalia,,,,,
Calidris alba,Animalia,Emerita talpoida,Animalia,,,,,
Sterna hirundo,Animalia,Emerita talpoida,Animalia,,,,,
Corvus brachyrhynchos,Animalia,Emydidae,Animalia,,,,,
Drosera anglica,Plantae,Enallagma,Animalia,TRUE,TRUE,,,
Zerenopsis lepida,Animalia,Encephalartos villosus,Plantae,,,,,
Nuctenea umbratica,Animalia,Endomychus coccineus,Animalia,,,,,
Pseudacraea lucretia,Animalia,Englerophytum magalismontanum,Plantae,,,,,
Chroicocephalus philadelphia,Animalia,Engraulis mordax,Animalia,,,,,
Megaptera novaeangliae,Animalia,Engraulis mordax,Animalia,,,,,
Thalasseus elegans,Animalia,Engraulis mordax,Animalia,,,,,
Badumna longinqua,Animalia,Ennomini,Animalia,,,,,
Ardea herodias,Animalia,Enophrys bison,Animalia,,,,,
Larus glaucescens Ã— occidentalis,Animalia,Enophrys bison,Animalia,,,,,
Lontra canadensis,Animalia,Enophrys bison,Animalia,,,,,
Isodontia mexicana,Animalia,Ensifera,Animalia,,,,,
Upupa epops africana,Animalia,Ensifera,Animalia,,,,,
Sialia sialis,Animalia,Entelegynae,Animalia,,,,,
Eumetopias jubatus,Animalia,Enteroctopus dofleini,Animalia,,,,,
Larus glaucescens,Animalia,Enteroctopus dofleini,Animalia,,,,,
Calopteryx splendens,Animalia,Ephemera danica,Animalia,,,,,
Calopteryx virgo,Animalia,Ephemeroptera,Animalia,,,,,
Menemerus semilimbatus,Animalia,Ephemeroptera,Animalia,,,,,
Metazygia zilloides,Animalia,Ephemeroptera,Animalia,,,,,
Salticus scenicus,Animalia,Ephemeroptera,Animalia,,,,,
Larus californicus,Animalia,Ephydrini,Animalia,,,,,
Mesotriton alpestris,Animalia,Epinotia tedella,Animalia,,,,,
Chrysomya marginalis,Animalia,Equus quagga burchellii,Animalia,,,,,
Kheper nigroaeneus,Animalia,Equus quagga burchellii,Animalia,,,,,
Plagiostenopterina submetallica,Animalia,Equus quagga burchellii,Animalia,,,,,
Proagoderus aciculatus,Animalia,Equus quagga burchellii,Animalia,,,,,
Proagoderus aureiceps,Animalia,Equus quagga burchellii,Animalia,,,,,
Pholcus phalangioides,Animalia,Eratigena inermis,Animalia,,,,,
Euplectrus,Animalia,Erebidae,Animalia,,,,,
Mylothris agathina agathina,Animalia,Erianthemum dregei,Plantae,,,,,
Adejeania vexatrix,Animalia,Ericameria nauseosa,Plantae,,,,,
Aerophilus nigripes,Animalia,Ericameria nauseosa,Plantae,,,,,
Bombus huntii,Animalia,Ericameria nauseosa,Plantae,,,,,
Eristalis tenax,Animalia,Ericameria nauseosa,Plantae,,,,,
Helicoverpa zea,Animalia,Ericameria nauseosa,Plantae,,,,,
Strymon melinus,Animalia,Ericameria nauseosa,Plantae,,,,,
Icaricia shasta pitkinensis,Animalia,Erigeron,Plantae,,,,,
Ardea herodias,Animalia,Erimyzon sucetta,Animalia,,,,,
Haliaeetus leucocephalus,Animalia,Erimyzon sucetta,Animalia,,,,,
Apis mellifera,Animalia,Eriogonum fasciculatum,Plantae,,,,,
Trichodes ornatus,Animalia,Eriogonum ovalifolium purpureum,Plantae,,,,,
Judolia sexspilota,Animalia,Eriophyllum confertiflorum,Plantae,,,,,
Deudorix antalus,Animalia,Eriosema psoraleoides,Plantae,,,,,
Popillia bipunctata,Animalia,Eriosema psoraleoides,Plantae,,,,,
Sayornis nigricans,Animalia,Eristalinae,Animalia,,,,,
Myrmicaria natalensis,Animalia,Eristalinus quinquelineatus,Animalia,,,,,
Rhipidura leucophrys,Animalia,Eristalis tenax,Animalia,,,,,
Schinia pulchripennis,Animalia,Erodium botrys,Plantae,,,,,
Anthophora pacifica,Animalia,Erysimum capitatum,Plantae,,,,,
Sayornis nigricans,Animalia,Erythemis collocata,Animalia,,,,,
Anax junius,Animalia,Erythemis simplicicollis,Animalia,,,,,
Anolis carolinensis,Animalia,Erythemis simplicicollis,Animalia,,,,,
Anolis sagrei,Animalia,Erythemis simplicicollis,Animalia,,,,,
Promachus hinei,Animalia,Erythemis simplicicollis,Animalia,,,,,
Erythemis simplicicollis,Animalia,Erythemis simplicicollis,Animalia,,,,,
Crithagra gularis,Animalia,Erythrina,Plantae,,,,,
Quadrastichus gallicola,Animalia,Erythrina,Plantae,,,,,
Chalcomitra senegalensis,Animalia,Erythrina afra,Plantae,,,,,
Chalcomitra senegalensis gutturalis,Animalia,Erythrina afra,Plantae,,,,,
Monolepta melanogaster,Animalia,Erythrina afra,Plantae,,,,,
Spermestes cucullata,Animalia,Erythrina afra,Plantae,,,,,
Spermestes cucullata scutata,Animalia,Erythrina afra,Plantae,,,,,
Quadrastichus ingens,Animalia,Erythrina latissima,Plantae,,,,,
Anthreptes longuemarei,Animalia,Erythrina lysistemon,Plantae,,,,,
Hedydipna collaris,Animalia,Erythrina lysistemon,Plantae,,,,,
Hedydipna collaris zuluensis,Animalia,Erythrina lysistemon,Plantae,,,,,
Argiope aurantia,Animalia,Erythrodiplax berenice,Animalia,,,,,
Lasioglossum sisymbrii,Animalia,Eschscholzia californica,Plantae,,,,,
Ardea cinerea,Animalia,Esox lucius,Animalia,,,,,
Larus smithsonianus,Animalia,Esox lucius,Animalia,,,,,
Phalacrocorax carbo,Animalia,Esox lucius,Animalia,,,,,
Saxicola torquatus,Animalia,Estigmene trivitta,Animalia,,,,,
Saxicola torquatus torquatus,Animalia,Estigmene trivitta,Animalia,,,,,
Pheidole obscurithorax,Animalia,Euborellia annulipes,Animalia,,,,,
Orygocera thysanarcha,Animalia,Euclea natalensis,Plantae,,,,,
Thomisus onustus,Animalia,Eudasyphora,Animalia,,,,,
Onychognathus morio,Animalia,Eugenia capensis,Plantae,,,,,
Polyrhachis schistacea,Animalia,Eulophia speciosa,Plantae,,,,,
Lacipa gracilis,Animalia,Eulophia subsaprophytica,Plantae,,,,,
Mimus polyglottos,Animalia,Euonymus,Plantae,,,,,
Thomisus onustus,Animalia,Eupeodes,Animalia,,,,,
Tenthredo solitaria,Animalia,Euphorbia dulcis,Plantae,,,,,
Zizeeria knysna,Animalia,Euphorbia graminea,Plantae,,,,,
Dicranocephalus schmitzi,Animalia,Euphorbia lignosa,Plantae,,,,,
Mecaphesa celer,Animalia,Eurema lisa,Animalia,,,,,
Euthyrhynchus floridanus,Animalia,Euthyrhynchus floridanus,Animalia,,,,,
Colias eurytheme,Animalia,Eutrochium fistulosum,Plantae,,,,,
Papilio glaucus,Animalia,Eutrochium fistulosum,Plantae,,,,,
Bombus impatiens,Animalia,Eutrochium maculatum,Plantae,,,,,
Larus glaucescens,Animalia,Evasterias troschelii,Animalia,,,,,
Larus glaucescens Ã— occidentalis,Animalia,Evasterias troschelii,Animalia,,,,,
Cryptococcus fagisuga,Animalia,Fagus grandifolia,Plantae,,,,,
Halysidota tessellaris,Animalia,Fagus grandifolia,Plantae,,,,,
Centaurea jacea,Plantae,Oxycarenus pallens,Animalia,FALSE,FALSE,Need to check with Professor. The image is weird to interpret,Yes,
Loxodonta africana,Animalia,Faidherbia albida,Plantae,,,,,
Lophodytes cucullatus,Animalia,Faxonius virilis,Animalia,,,,,
Dendrelaphis pictus,Animalia,Fejervarya limnocharis,Animalia,,,,,
Eristalinus taeniops,Animalia,Felicia,Plantae,,,,,
Coragyps atratus,Animalia,Felis catus,Animalia,,,,,
Sciurus carolinensis,Animalia,Felis catus,Animalia,,,,,
Chlorocala africana,Animalia,Ficus,Plantae,,,,,
Stactolaema whytii,Animalia,Ficus,Plantae,,,,,
Zosterops anderssoni,Animalia,Ficus,Plantae,,,,,
Sepullia umzila,Animalia,Ficus abutilifolia,Plantae,,,,,
Cinnyricinclus leucogaster,Animalia,Ficus burkei,Plantae,,,,,
Crithagra mozambica,Animalia,Ficus burkei,Plantae,,,,,
Gallirex porphyreolophus,Animalia,Ficus burkei,Plantae,,,,,
Gallirex porphyreolophus porphyreolophus,Animalia,Ficus burkei,Plantae,,,,,
Melaniparus niger,Animalia,Ficus burkei,Plantae,,,,,
Melaniparus niger niger,Animalia,Ficus burkei,Plantae,,,,,
Oriolus larvatus larvatus,Animalia,Ficus burkei,Plantae,,,,,
Ploceus cucullatus,Animalia,Ficus burkei,Plantae,,,,,
Ploceus cucullatus spilonotus,Animalia,Ficus burkei,Plantae,,,,,
Pogoniulus bilineatus bilineatus,Animalia,Ficus burkei,Plantae,,,,,
Pycnonotus barbatus,Animalia,Ficus burkei,Plantae,,,,,
Pycnonotus barbatus layardi,Animalia,Ficus burkei,Plantae,,,,,
Stactolaema leucotis,Animalia,Ficus burkei,Plantae,,,,,
Stactolaema leucotis leucotis,Animalia,Ficus burkei,Plantae,,,,,
Stactolaema whytii,Animalia,Ficus burkei,Plantae,,,,,
Trachyphonus vaillantii,Animalia,Ficus burkei,Plantae,,,,,
Trachyphonus vaillantii vaillantii,Animalia,Ficus burkei,Plantae,,,,,
Urocolius indicus,Animalia,Ficus burkei,Plantae,,,,,
Chromolaena odorata,Plantae,Belenois creona severina,Animalia,FALSE,FALSE,Animal is eating plant. Wrong data in the site,Yes,
Zosterops virens,Animalia,Ficus burkei,Plantae,,,,,
Zosterops virens virens,Animalia,Ficus burkei,Plantae,,,,,
Andropadus importunus,Animalia,Ficus burtt-davyi,Plantae,,,,,
Andropadus importunus importunus,Animalia,Ficus burtt-davyi,Plantae,,,,,
Bycanistes bucinator,Animalia,Ficus burtt-davyi,Plantae,,,,,
Chlorocebus pygerythrus,Animalia,Ficus burtt-davyi,Plantae,,,,,
Chlorocebus pygerythrus pygerythrus,Animalia,Ficus burtt-davyi,Plantae,,,,,
Olenecamptus albidus,Animalia,Ficus burtt-davyi,Plantae,,,,,
Stactolaema leucotis,Animalia,Ficus burtt-davyi,Plantae,,,,,
Stactolaema leucotis leucotis,Animalia,Ficus burtt-davyi,Plantae,,,,,
Bycanistes bucinator,Animalia,Ficus bussei,Plantae,,,,,
Civettictis civetta,Animalia,Ficus bussei,Plantae,,,,,
Crinifer concolor,Animalia,Ficus bussei,Plantae,,,,,
Papio ursinus,Animalia,Ficus bussei,Plantae,,,,,
Papio ursinus griseipes,Animalia,Ficus bussei,Plantae,,,,,
Poicephalus meyeri,Animalia,Ficus bussei,Plantae,,,,,
Treron calvus,Animalia,Ficus bussei,Plantae,,,,,
Neserella capreifoliae,Animalia,Ficus capreifolia,Plantae,,,,,
Racinoa ficicola,Animalia,Ficus carica,Plantae,,,,,
Vespa crabro,Animalia,Ficus carica,Plantae,,,,,
Berenicornis comatus,Animalia,Ficus heteropleura,Plantae,,,,,
Chlorocebus pygerythrus,Animalia,Ficus lutea,Plantae,,,,,
Chlorocebus pygerythrus pygerythrus,Animalia,Ficus lutea,Plantae,,,,,
Stactolaema leucotis,Animalia,Ficus lutea,Plantae,,,,,
Stactolaema leucotis leucotis,Animalia,Ficus lutea,Plantae,,,,,
Apis mellifera,Animalia,Ficus sur,Plantae,,,,,
Ceratosolen capensis,Animalia,Ficus sur,Plantae,,,,,
Colius striatus,Animalia,Ficus sur,Plantae,,,,,
Lybius torquatus,Animalia,Ficus sur,Plantae,,,,,
Stactolaema whytii,Animalia,Ficus sur,Plantae,,,,,
Trachyphonus vaillantii,Animalia,Ficus sur,Plantae,,,,,
Urocolius indicus,Animalia,Ficus sur,Plantae,,,,,
Urocolius indicus transvaalensis,Animalia,Ficus sur,Plantae,,,,,
Bycanistes bucinator,Animalia,Ficus sycomorus sycomorus,Plantae,,,,,
Colius striatus,Animalia,Ficus sycomorus sycomorus,Plantae,,,,,
Colius striatus integralis,Animalia,Ficus sycomorus sycomorus,Plantae,,,,,
Crithagra mozambica,Animalia,Ficus sycomorus sycomorus,Plantae,,,,,
Pycnonotus barbatus,Animalia,Ficus sycomorus sycomorus,Plantae,,,,,
Pycnonotus barbatus layardi,Animalia,Ficus sycomorus sycomorus,Plantae,,,,,
Treron calvus,Animalia,Ficus sycomorus sycomorus,Plantae,,,,,
Treron calvus delalandii,Animalia,Ficus sycomorus sycomorus,Plantae,,,,,
Colius striatus minor,Animalia,Ficus trichopoda,Plantae,,,,,
Gallirex porphyreolophus,Animalia,Filicium decipiens,Plantae,,,,,
Lamprotornis chalybaeus,Animalia,Filicium decipiens,Plantae,,,,,
Pycnonotus barbatus,Animalia,Filicium decipiens,Plantae,,,,,
Pycnonotus barbatus layardi,Animalia,Filicium decipiens,Plantae,,,,,
Stactolaema whytii,Animalia,Filicium decipiens,Plantae,,,,,
Thysanoplusia orichalcea,Animalia,Foeniculum vulgare,Plantae,,,,,
Marpissa muscosa,Animalia,Forficula,Animalia,,,,,
Enoplognatha ovata,Animalia,Forficula auricularia,Animalia,,,,,
Eratigena agrestis,Animalia,Forficula auricularia,Animalia,,,,,
Corvus brachyrhynchos,Animalia,Forficula dentata,Animalia,,,,,
Holocnemus pluchei,Animalia,Forficula dentata,Animalia,,,,,
Pholcus phalangioides,Animalia,Forficula dentata,Animalia,,,,,
Tetramorium immigrans,Animalia,Forficula dentata,Animalia,,,,,
Armadillidium vulgare,Animalia,Formica,Animalia,,,,,
Pholcus manueli,Animalia,Formicidae,Animalia,,,,,
Platycryptus undatus,Animalia,Formicidae,Animalia,,,,,
Ploceus capensis,Animalia,Formicidae,Animalia,,,,,
Tutelina elegans,Animalia,Formicidae,Animalia,,,,,
Toxostoma redivivum,Animalia,Frangula californica,Plantae,,,,,
Agrilus planipennis,Animalia,Fraxinus americana,Plantae,,,,,
Chromolaena odorata,Plantae,Delta fenestrale,Animalia,FALSE,FALSE,Animal is eating plant. Wrong data in the site,Yes,
Castor canadensis,Animalia,Fraxinus latifolia,Plantae,,,,,
Sphyrapicus ruber,Animalia,Fraxinus latifolia,Plantae,,,,,
Alligator mississippiensis,Animalia,Fulica americana,Animalia,,,,,
Astur gentilis,Animalia,Fulica atra,Animalia,,,,,
Astur gentilis gentilis,Animalia,Fulica atra,Animalia,,,,,
Sterna forsteri,Animalia,Fundulus heteroclitus,Animalia,,,,,
Sternula antillarum,Animalia,Fundulus heteroclitus,Animalia,,,,,
Ariolimax dolichophallus,Animalia,Fungi,Fungi,,,,,
Philomycus togatus,Animalia,Fungi,Fungi,,,,,
Piranga rubra,Animalia,Fuscopolistes,Animalia,,,,,
Bombus rufocinctus,Animalia,Gaillardia aristata,Plantae,,,,,
Apis mellifera,Animalia,Galanthus,Plantae,,,,,
Eupeodes fumipennis,Animalia,Galinsoga quadriradiata,Plantae,,,,,
