scientific_name,common_name,iconic_taxon_name,taxon_kingdom,taxon_species,taxon_phylum,taxon_subphylum,taxon_superclass,taxon_class,taxon_subclass,taxon_superorder,taxon_order,taxon_suborder,taxon_superfamily,taxon_family,taxon_subfamily,taxon_supertribe,taxon_tribe,taxon_subtribe,taxon_genus,taxon_genushybrid,taxon_hybrid,taxon_subspecies,taxon_variety,taxon_form
Hieraaetus wahlbergi,Wahlberg's Eagle,Aves,Animalia,Hieraaetus wahlbergi,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,Aquilinae,,,,Hieraaetus,,,,,
Hierodula patellifera,Giant Asian Mantis,Insecta,Animalia,Hierodula patellifera,Arthropoda,Hexapoda,,Insecta,Pterygota,,Mantodea,Eumantodea,Mantoidea,Mantidae,Hierodulinae,,Hierodulini,,Hierodula,,,,,
Hierodula transcaucasica,Transcaucasian Giant Mantis,Insecta,Animalia,Hierodula transcaucasica,Arthropoda,Hexapoda,,Insecta,Pterygota,,Mantodea,Eumantodea,Mantoidea,Mantidae,Hierodulinae,,Hierodulini,,Hierodula,,,,,
Hierophis viridiflavus,Green Whip Snake,Reptilia,Animalia,Hierophis viridiflavus,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Colubrinae,,,,Hierophis,,,Hierophis viridiflavus carbonarius,,
Hierophis viridiflavus carbonarius,,Reptilia,Animalia,Hierophis viridiflavus,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Colubrinae,,,,Hierophis,,,Hierophis viridiflavus carbonarius,,
Hilliardiella elaeagnoides,Bicolour Vernonia,Plantae,Plantae,Hilliardiella elaeagnoides,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Vernonioideae,,Vernonieae,Erlangeinae,Hilliardiella,,,,,
Himantopus mexicanus,Black-necked Stilt,Aves,Animalia,Himantopus mexicanus,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Recurvirostridae,,,,,Himantopus,,,,,
Hipparchia semele,Grayling,Insecta,Animalia,Hipparchia semele,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Satyrinae,,Satyrini,Satyrina,Hipparchia,,,,,
Hippodamia variegata,Variegated Lady Beetle,Insecta,Animalia,Hippodamia variegata,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Coccinelloidea,Coccinellidae,Coccinellinae,,Coccinellini,,Hippodamia,,,,,
Hippopotamus amphibius,Common Hippopotamus,Mammalia,Animalia,Hippopotamus amphibius,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Hippopotamidae,,,,,Hippopotamus,,,,,
Hippotragus niger niger,Southern Sable Antelope,Mammalia,Animalia,Hippotragus niger,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,,Hippotragini,,Hippotragus,,,Hippotragus niger niger,,
Hirschfeldia incana,Shortpod Mustard,Plantae,Plantae,Hirschfeldia incana,Tracheophyta,Angiospermae,,Magnoliopsida,,,Brassicales,,,Brassicaceae,Brassicoideae,Brassicodae,Brassiceae,,Hirschfeldia,,,,,
Hirudo michaelseni,Common African Leech,Animalia,Animalia,Hirudo michaelseni,Annelida,,,Clitellata,Hirudinea,,Arhynchobdellida,Hirudiniformes,,Hirudinidae,,,,,Hirudo,,,,,
Hirundo rustica,Barn Swallow,Aves,Animalia,Hirundo rustica,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Hirundinidae,,,,,Hirundo,,,,,
Histrionicus histrionicus,Harlequin Duck,Aves,Animalia,Histrionicus histrionicus,Chordata,Vertebrata,,Aves,,,Anseriformes,,,Anatidae,,,,,Histrionicus,,,,,
Hogna radiata,Radiated Wolf Spider,Arachnida,Animalia,Hogna radiata,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Lycosoidea,Lycosidae,Lycosinae,,,,Hogna,,,,,
Holocnemus pluchei,Marbled Cellar Spider,Arachnida,Animalia,Holocnemus pluchei,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Pholcoidea,Pholcidae,Smeringopinae,,,,Holocnemus,,,,,
Homalodisca liturata,Smoketree Sharpshooter,Insecta,Animalia,Homalodisca liturata,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Auchenorrhyncha,Membracoidea,Cicadellidae,Cicadellinae,,Proconiini,,Homalodisca,,,,,
Hoodia currorii lugardii,Bushman's Hat,Plantae,Plantae,Hoodia currorii,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,Apocynaceae,Asclepiadoideae,,Ceropegieae,Stapeliinae,Hoodia,,,Hoodia currorii lugardii,,
Hoplias malabaricus,Common Wolffish,Actinopterygii,Animalia,Hoplias malabaricus,Chordata,Vertebrata,,Actinopterygii,,Ostariophysi,Characiformes,Characoidei,,Erythrinidae,,,,,Hoplias,,,,,
Hyacinthoides non-scripta,bluebell,Plantae,Plantae,Hyacinthoides non-scripta,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asparagaceae,Scilloideae,,Hyacintheae,,Hyacinthoides,,,,,
Hyalophora euryalus,Ceanothus Silk Moth,Insecta,Animalia,Hyalophora euryalus,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Bombycoidea,Saturniidae,Saturniinae,,Attacini,,Hyalophora,,,,,
Hycleus lugens,Tenspot Blisterbeetle,Insecta,Animalia,Hycleus lugens,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Tenebrionoidea,Meloidae,Meloinae,,Mylabrini,,Hycleus,,,,,
Hycleus oculatus,CMR Blisterbeetle,Insecta,Animalia,Hycleus oculatus,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Tenebrionoidea,Meloidae,Meloinae,,Mylabrini,,Hycleus,,,,,
Hydrocynus vittatus,Striped Tigerfish,Actinopterygii,Animalia,Hydrocynus vittatus,Chordata,Vertebrata,,Actinopterygii,,Ostariophysi,Characiformes,Characoidei,,Alestidae,,,,,Hydrocynus,,,,,
Hydrophyllum fendleri,Fendler's Waterleaf,Plantae,Plantae,Hydrophyllum fendleri,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Hydrophylloideae,,,,Hydrophyllum,,,,,
Hydrophyllum virginianum,Virginia waterleaf,Plantae,Plantae,Hydrophyllum virginianum,Tracheophyta,Angiospermae,,Magnoliopsida,,,Boraginales,,,Boraginaceae,Hydrophylloideae,,,,Hydrophyllum,,,,,
Hyla versicolor,Gray Treefrog Species Complex,Amphibia,Animalia,,Chordata,Vertebrata,,Amphibia,,,Anura,,,Hylidae,,,,,Hyla,,,,,
Hylambates maculatus,Red-legged Wot-wot,Amphibia,Animalia,Hylambates maculatus,Chordata,Vertebrata,,Amphibia,,,Anura,,,Hyperoliidae,Kassininae,,,,Hylambates,,,,,
Hylephila phyleus,Fiery Skipper,Insecta,Animalia,Hylephila phyleus,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Hesperiidae,Hesperiinae,,Hesperiini,Hesperiina,Hylephila,,,,,
Hyles lineata,White-lined Sphinx,Insecta,Animalia,Hyles lineata,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Bombycoidea,Sphingidae,Macroglossinae,,Macroglossini,Choerocampina,Hyles,,,,,
Hylocichla mustelina,Wood Thrush,Aves,Animalia,Hylocichla mustelina,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Turdidae,,,,,Hylocichla,,,,,
Hypercompe scribonia,Giant Leopard Moth,Insecta,Animalia,Hypercompe scribonia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Erebidae,Arctiinae,,Arctiini,Spilosomina,Hypercompe,,,,,
Hyperechia consimilis,Woodcutterbee Robberfly,Insecta,Animalia,Hyperechia consimilis,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Asiloidea,Asilidae,Laphriinae,,Andrenosomatini,,Hyperechia,,,,,
Hyperolius marmoratus,Spotted Painted Reedfrog,Amphibia,Animalia,Hyperolius marmoratus,Chordata,Vertebrata,,Amphibia,,,Anura,,,Hyperoliidae,Hyperoliinae,,,,Hyperolius,,,Hyperolius marmoratus verrucosus,,
Hyperolius marmoratus taeniatus,Striped Painted Reedfrog,Amphibia,Animalia,Hyperolius marmoratus,Chordata,Vertebrata,,Amphibia,,,Anura,,,Hyperoliidae,Hyperoliinae,,,,Hyperolius,,,Hyperolius marmoratus taeniatus,,
Hyperolius marmoratus verrucosus,Spotted Painted Reedfrog,Amphibia,Animalia,Hyperolius marmoratus,Chordata,Vertebrata,,Amphibia,,,Anura,,,Hyperoliidae,Hyperoliinae,,,,Hyperolius,,,Hyperolius marmoratus verrucosus,,
Hyperolius pusillus,Water Lily Reed Frog,Amphibia,Animalia,Hyperolius pusillus,Chordata,Vertebrata,,Amphibia,,,Anura,,,Hyperoliidae,Hyperoliinae,,,,Hyperolius,,,,,
Hyphaene coriacea,Ilala palm,Plantae,Plantae,Hyphaene coriacea,Tracheophyta,Angiospermae,,Liliopsida,,,Arecales,,,Arecaceae,Coryphoideae,,Borasseae,Hyphaeninae,Hyphaene,,,,,
Hyphantria cunea,Fall Webworm Moth,Insecta,Animalia,Hyphantria cunea,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Erebidae,Arctiinae,,Arctiini,Spilosomina,Hyphantria,,,,,
Hypolimnas misippus,Danaid Eggfly,Insecta,Animalia,Hypolimnas misippus,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Nymphalinae,,Junoniini,,Hypolimnas,,,,,
Hypolycaena philippus,Purple-brown Hairstreak,Insecta,Animalia,Hypolycaena philippus,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Polyommatinae,,Hypolycaenini,,Hypolycaena,,,Hypolycaena philippus philippus,,
Hypolycaena philippus philippus,Purple-brown Hairstreak,Insecta,Animalia,Hypolycaena philippus,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Polyommatinae,,Hypolycaenini,,Hypolycaena,,,Hypolycaena philippus philippus,,
Hypsiscopus murphyi,Murphy's Mud Snake,Reptilia,Animalia,Hypsiscopus murphyi,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Homalopsidae,,,,,Hypsiscopus,,,,,
Hypsypops rubicundus,Garibaldi,Actinopterygii,Animalia,Hypsypops rubicundus,Chordata,Vertebrata,,Actinopterygii,,Acanthomorpha,Blenniiformes,,,Pomacentridae,Microspathodontinae,,,,Hypsypops,,,,,
Ictalurus punctatus,Channel Catfish,Actinopterygii,Animalia,Ictalurus punctatus,Chordata,Vertebrata,,Actinopterygii,,Ostariophysi,Siluriformes,Siluroidei,,Ictaluridae,,,,,Ictalurus,,,,,
Icterus bullockii,Bullock's Oriole,Aves,Animalia,Icterus bullockii,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Icteridae,,,,,Icterus,,,,,
Icterus galbula,Baltimore Oriole,Aves,Animalia,Icterus galbula,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Icteridae,,,,,Icterus,,,,,
Icthyophaga vocifer,African Fish-Eagle,Aves,Animalia,Icthyophaga vocifer,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,Buteoninae,,,,Icthyophaga,,,,,
Ictinogomphus pertinax,Common Flangetail,Insecta,Animalia,Ictinogomphus pertinax,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Anisoptera,Gomphoidea,Gomphidae,,,,,Ictinogomphus,,,,,
Ilex aquifolium,European holly,Plantae,Plantae,Ilex aquifolium,Tracheophyta,Angiospermae,,Magnoliopsida,,,Aquifoliales,,,Aquifoliaceae,,,,,Ilex,,,,,
Ilex vomitoria,Yaupon Holly,Plantae,Plantae,Ilex vomitoria,Tracheophyta,Angiospermae,,Magnoliopsida,,,Aquifoliales,,,Aquifoliaceae,,,,,Ilex,,,,,
Impatiens capensis,common jewelweed,Plantae,Plantae,Impatiens capensis,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Balsaminaceae,,,,,Impatiens,,,,,
Impatiens parviflora,small balsam,Plantae,Plantae,Impatiens parviflora,Tracheophyta,Angiospermae,,Magnoliopsida,,,Ericales,,,Balsaminaceae,,,,,Impatiens,,,,,
Incilius nebulifer,Gulf Coast Toad,Amphibia,Animalia,Incilius nebulifer,Chordata,Vertebrata,,Amphibia,,,Anura,,,Bufonidae,,,,,Incilius,,,,,
Indigofera hendecaphylla,trailing indigo,Plantae,Plantae,Indigofera hendecaphylla,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,,Indigofereae,,Indigofera,,,,,
Indigofera spicata,Creeping Indigo,Plantae,Plantae,Indigofera spicata,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Faboideae,,Indigofereae,,Indigofera,,,,,
Indotyphlops braminus,Brahminy Blindsnake,Reptilia,Animalia,Indotyphlops braminus,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Typhlopidae,Asiatyphlopinae,,,,Indotyphlops,,,,,
Insignorthezia insignis,Greenhouse Orthezia,Insecta,Animalia,Insignorthezia insignis,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Sternorrhyncha,Coccoidea,Ortheziidae,,,,,Insignorthezia,,,,,
Iphiclides feisthamelii,Iberian Scarce Swallowtail,Insecta,Animalia,Iphiclides feisthamelii,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Papilionidae,Papilioninae,,Leptocircini,,Iphiclides,,,,,
Ipomoea,morning-glories,Plantae,Plantae,,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,Convolvulaceae,Convolvuloideae,,Ipomoeeae,,Ipomoea,,,,,
Ipomoea pes-caprae,Beach Morning Glory,Plantae,Plantae,Ipomoea pes-caprae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Solanales,,,Convolvulaceae,Convolvuloideae,,Ipomoeeae,,Ipomoea,,,,,
Iris missouriensis,western blue flag,Plantae,Plantae,Iris missouriensis,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Iridaceae,Iridoideae,,Irideae,,Iris,,,,,
Iris planifolia,,Plantae,Plantae,Iris planifolia,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Iridaceae,Iridoideae,,Irideae,,Iris,,,,,
Iscadida alveolata,Pitted Flightless Leaf Beetle,Insecta,Animalia,Iscadida alveolata,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Chrysomeloidea,Chrysomelidae,Chrysomelinae,,Entomoscelini,,Iscadida,,,,,
Ischnura elegans,Blue-tailed Damselfly,Insecta,Animalia,Ischnura elegans,Arthropoda,Hexapoda,,Insecta,Pterygota,,Odonata,Zygoptera,Coenagrionoidea,Coenagrionidae,,,,,Ischnura,,,,,
Isistius brasiliensis,Smalltooth Cookiecutter Shark,Animalia,Animalia,Isistius brasiliensis,Chordata,Vertebrata,,Chondrichthyes,Elasmobranchii,Squalomorphi,Squaliformes,,,Dalatiidae,,,,,Isistius,,,,,
Jacobaea vulgaris,ragwort,Plantae,Plantae,Jacobaea vulgaris,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Asteroideae,,Senecioneae,Senecioninae,Jacobaea,,,,,
Jadera haematoloma,Red-shouldered Bug,Insecta,Animalia,Jadera haematoloma,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Coreoidea,Rhopalidae,Serinethinae,,,,Jadera,,,,,
Judolia sexspilota,,Insecta,Animalia,Judolia sexspilota,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Cerambycoidea,Cerambycidae,Lepturinae,,Lepturini,,Judolia,,,,,
Juglans nigra,eastern black walnut,Plantae,Plantae,Juglans nigra,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,Juglandaceae,,,,,Juglans,,,,,
Juglans regia,Persian walnut,Plantae,Plantae,Juglans regia,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fagales,,,Juglandaceae,,,,,Juglans,,,,,
Julbernardia globiflora,Mnondo,Plantae,Plantae,Julbernardia globiflora,Tracheophyta,Angiospermae,,Magnoliopsida,,,Fabales,,,Fabaceae,Detarioideae,,Amherstieae,,Julbernardia,,,,,
Junco hyemalis,Dark-eyed Junco,Aves,Animalia,Junco hyemalis,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Passerellidae,,,,,Junco,,,,,
Juniperus virginiana,eastern redcedar,Plantae,Plantae,Juniperus virginiana,Tracheophyta,,,Pinopsida,,,Pinales,,,Cupressaceae,Cupressoideae,,,,Juniperus,,,,,
Junonia elgiva,Yellow-banded Pansy,Insecta,Animalia,Junonia elgiva,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Nymphalinae,,Junoniini,,Junonia,,,,,
Junonia oenone,Blue-spot Pansy,Insecta,Animalia,Junonia oenone,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Nymphalinae,,Junoniini,,Junonia,,,Junonia oenone oenone,,
Junonia oenone oenone,Blue-spot Pansy,Insecta,Animalia,Junonia oenone,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Nymphalidae,Nymphalinae,,Junoniini,,Junonia,,,Junonia oenone oenone,,
Justicia flava,Yellow Justicia,Plantae,Plantae,Justicia flava,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Acanthaceae,Acanthoideae,,Justicieae,Justiciinae,Justicia,,,,,
Kalanchoe pinnata,Air Plant,Plantae,Plantae,Kalanchoe pinnata,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Crassulaceae,Kalanchoideae,,,,Kalanchoe,,,,,
Kalanchoe rotundifolia,Nentakalanchoe,Plantae,Plantae,Kalanchoe rotundifolia,Tracheophyta,Angiospermae,,Magnoliopsida,,,Saxifragales,,,Crassulaceae,Kalanchoideae,,,,Kalanchoe,,,,,
Kalophrynus meizon,Bornean Sticky Frog,Amphibia,Animalia,Kalophrynus meizon,Chordata,Vertebrata,,Amphibia,,,Anura,,,Microhylidae,Kalophryninae,,,,Kalophrynus,,,,,
Kheper nigroaeneus,Diurnal Copper Dung Beetle,Insecta,Animalia,Kheper nigroaeneus,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Scarabaeoidea,Scarabaeidae,Scarabaeinae,,Scarabaeini,,Kheper,,,,,
Kinixys zombensis zombensis,Eastern Hinge Tortoise,Reptilia,Animalia,Kinixys zombensis,Chordata,Vertebrata,,Reptilia,,,Testudines,,,Testudinidae,,,,,Kinixys,,,Kinixys zombensis zombensis,,
Kinosternon baurii,Striped Mud Turtle,Reptilia,Animalia,Kinosternon baurii,Chordata,Vertebrata,,Reptilia,,,Testudines,,,Kinosternidae,Kinosterninae,,,,Kinosternon,,,,,
Kniphofia uvaria,Red Hot Poker,Plantae,Plantae,Kniphofia uvaria,Tracheophyta,Angiospermae,,Liliopsida,,,Asparagales,,,Asphodelaceae,Asphodeloideae,,,,Kniphofia,,,,,
Kobus ellipsiprymnus ellipsiprymnus,Common Waterbuck,Mammalia,Animalia,Kobus ellipsiprymnus,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,,Reduncini,,Kobus,,,Kobus ellipsiprymnus ellipsiprymnus,,
Kraussia floribunda,Rhino-Coffee,Plantae,Plantae,Kraussia floribunda,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,Rubiaceae,Ixoroideae,,Octotropideae,,Kraussia,,,,,
Kukulcania hibernalis,Southern House Spider,Arachnida,Animalia,Kukulcania hibernalis,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,,Filistatidae,Filistatinae,,,,Kukulcania,,,,,
Lacerta bilineata,Western Green Lizard,Reptilia,Animalia,Lacerta bilineata,Chordata,Vertebrata,,Reptilia,,,Squamata,Sauria,,Lacertidae,Lacertinae,,,,Lacerta,,,,,
Lacipa gracilis,Slender Lacipa,Insecta,Animalia,Lacipa gracilis,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Noctuoidea,Erebidae,Lymantriinae,,Lymantriini,,Lacipa,,,,,
Lactuca serriola,prickly lettuce,Plantae,Plantae,Lactuca serriola,Tracheophyta,Angiospermae,,Magnoliopsida,,,Asterales,,,Asteraceae,Cichorioideae,,Cichorieae,Lactucinae,Lactuca,,,,,
Laetiporus gilbertsonii,Western Hardwood Sulphur Shelf,Fungi,Fungi,Laetiporus gilbertsonii,Basidiomycota,Agaricomycotina,,Agaricomycetes,,,Polyporales,,,Laetiporaceae,,,,,Laetiporus,,,,,
Lagerstroemia speciosa,Giant Crepe-myrtle,Plantae,Plantae,Lagerstroemia speciosa,Tracheophyta,Angiospermae,,Magnoliopsida,,,Myrtales,,,Lythraceae,,,,,Lagerstroemia,,,,,
Lamium amplexicaule,henbit deadnettle,Plantae,Plantae,Lamium amplexicaule,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Lamioideae,,Lamieae,,Lamium,,,,,
Lamium purpureum,red deadnettle,Plantae,Plantae,Lamium purpureum,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Lamiaceae,Lamioideae,,Lamieae,,Lamium,,,,,
Lampetra planeri,European Brook Lamprey,Animalia,Animalia,Lampetra planeri,Chordata,Vertebrata,Agnatha,Petromyzonti,,,Petromyzontiformes,,,Petromyzontidae,Lampetrinae,,,,Lampetra,,,,,
Lampides boeticus,Pea Blue,Insecta,Animalia,Lampides boeticus,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Polyommatinae,,Polyommatini,Lampidina,Lampides,,,,,
Lampropeltis californiae,California King Snake,Reptilia,Animalia,Lampropeltis californiae,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Colubrinae,,,,Lampropeltis,,,,,
Lampropeltis getula,Eastern Kingsnake,Reptilia,Animalia,Lampropeltis getula,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Colubrinae,,,,Lampropeltis,,,,,
Lamprotornis chalybaeus,Greater Blue-eared Starling,Aves,Animalia,Lamprotornis chalybaeus,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Sturnidae,,,,,Lamprotornis,,,,,
Lanius collaris,Cape Southern Fiscal,Aves,Animalia,Lanius collaris,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Laniidae,,,,,Lanius,,,Lanius collaris collaris,,
Lanius collaris collaris,Cape Southern Fiscal,Aves,Animalia,Lanius collaris,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Laniidae,,,,,Lanius,,,Lanius collaris collaris,,
Lanius ludovicianus,Loggerhead Shrike,Aves,Animalia,Lanius ludovicianus,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Laniidae,,,,,Lanius,,,,,
Lantana camara,common lantana,Plantae,Plantae,Lantana camara,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Verbenaceae,,,Lantaneae,,Lantana,,,,,
Lantana strigocamara,Lantana,Plantae,Plantae,Lantana strigocamara,Tracheophyta,Angiospermae,,Magnoliopsida,,,Lamiales,,,Verbenaceae,,,Lantaneae,,Lantana,,,,,
Laphria flavicollis,Black-tailed Laphria,Insecta,Animalia,Laphria flavicollis,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,Asiloidea,Asilidae,Laphriinae,,Laphriini,,Laphria,,,,,
Largus succinctus,Eastern Bordered Plant Bug,Insecta,Animalia,Largus succinctus,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Heteroptera,Pyrrhocoroidea,Largidae,Larginae,,Largini,,Largus,,,,,
Larinioides cornutus,Furrow Orbweaver,Arachnida,Animalia,Larinioides cornutus,Arthropoda,Chelicerata,,Arachnida,,,Araneae,Araneomorphae,Araneoidea,Araneidae,Araneinae,,,,Larinioides,,,,,
Larus argentatus,European Herring Gull,Aves,Animalia,Larus argentatus,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,,,Larus,,,,,
Larus brachyrhynchus,Short-billed Gull,Aves,Animalia,Larus brachyrhynchus,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,,,Larus,,,,,
Larus californicus,California Gull,Aves,Animalia,Larus californicus,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,,,Larus,,,,,
Larus delawarensis,Ring-billed Gull,Aves,Animalia,Larus delawarensis,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,,,Larus,,,,,
Larus dominicanus,Kelp Gull,Aves,Animalia,Larus dominicanus,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,,,Larus,,,Larus dominicanus dominicanus,,
Larus dominicanus dominicanus,Common Kelp Gull,Aves,Animalia,Larus dominicanus,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,,,Larus,,,Larus dominicanus dominicanus,,
Larus fuscus,Lesser Black-backed Gull,Aves,Animalia,Larus fuscus,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,,,Larus,,,,,
Larus glaucescens,Glaucous-winged Gull,Aves,Animalia,Larus glaucescens,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,,,Larus,,,,,
Larus glaucescens × occidentalis,Olympic Gull,Aves,Animalia,,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,,,Larus,,Larus glaucescens × occidentalis,,,
Larus heermanni,Heermann's Gull,Aves,Animalia,Larus heermanni,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,,,Larus,,,,,
Larus hyperboreus,Glaucous Gull,Aves,Animalia,Larus hyperboreus,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,,,Larus,,,,,
Larus marinus,Great Black-backed Gull,Aves,Animalia,Larus marinus,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,,,Larus,,,,,
Larus michahellis,Yellow-legged Gull,Aves,Animalia,Larus michahellis,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,,,Larus,,,,,
Larus mongolicus,Mongolian Gull,Aves,Animalia,Larus mongolicus,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,,,Larus,,,,,
Larus occidentalis,Western Gull,Aves,Animalia,Larus occidentalis,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,,,Larus,,,,,
Larus smithsonianus,American Herring Gull,Aves,Animalia,Larus smithsonianus,Chordata,Vertebrata,,Aves,,,Charadriiformes,,,Laridae,Larinae,,,,Larus,,,,,
Lasiosiphon calocephalus,Pincushion Curryflower,Plantae,Plantae,Lasiosiphon calocephalus,Tracheophyta,Angiospermae,,Magnoliopsida,,,Malvales,,,Thymelaeaceae,,,,,Lasiosiphon,,,,,
